GEOIDFQ,NAME,GEOTYPE,YEAR,FUEL_TYPE,FACILITIES,CAPACITY
0500000US39041,Delaware County,COUNTY,2014,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2014,Energy Storage,0,0
0500000US39041,Delaware County,COUNTY,2014,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2014,Solar,10,561800
0500000US39041,Delaware County,COUNTY,2014,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2014,Wind,0,0
0500000US39041,Delaware County,COUNTY,2015,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2015,Energy Storage,0,0
0500000US39041,Delaware County,COUNTY,2015,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2015,Solar,13,114500
0500000US39041,Delaware County,COUNTY,2015,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2015,Wind,0,0
0500000US39041,Delaware County,COUNTY,2016,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2016,Energy Storage,0,0
0500000US39041,Delaware County,COUNTY,2016,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2016,Solar,18,232100
0500000US39041,Delaware County,COUNTY,2016,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2016,Wind,0,0
0500000US39041,Delaware County,COUNTY,2017,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2017,Energy Storage,0,0
0500000US39041,Delaware County,COUNTY,2017,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2017,Solar,28,1219500
0500000US39041,Delaware County,COUNTY,2017,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2017,Wind,0,0
0500000US39041,Delaware County,COUNTY,2018,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2018,Energy Storage,0,0
0500000US39041,Delaware County,COUNTY,2018,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2018,Solar,29,270600
0500000US39041,Delaware County,COUNTY,2018,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2018,Wind,0,0
0500000US39041,Delaware County,COUNTY,2019,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2019,Energy Storage,0,0
0500000US39041,Delaware County,COUNTY,2019,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2019,Solar,61,3313500
0500000US39041,Delaware County,COUNTY,2019,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2019,Wind,0,0
0500000US39041,Delaware County,COUNTY,2020,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2020,Energy Storage,2,565000
0500000US39041,Delaware County,COUNTY,2020,Natural Gas/Propane,0,0
0500000US39041,Delaware County,COUNTY,2020,Solar,74,779700
0500000US39041,Delaware County,COUNTY,2020,Waste Gas,0,0
0500000US39041,Delaware County,COUNTY,2020,Wind,0,0
0500000US39041,Delaware County,COUNTY,2021,Biofuel,0,0
0500000US39041,Delaware County,COUNTY,2021,Energy Storage,2,17680
0500000US39041,Delaware County,COUNTY,2021,Natural Gas/Propane,0,0
